"X","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CHRNA7",1.74529568,1.91552362222222,6.90765619551667,3.29365254286861e-05,0.000298510391279932,2.3449499007554
"AHCYL2",1.59235916,1.66742876666667,6.89894358198745,3.33015179928094e-05,0.000300972963035853,2.3333194452863
"ST6GALNAC2",1.90595552,1.83581639555556,6.89636905864807,3.34102030559895e-05,0.000301532923524896,2.32988082713356
"MT2A",2.6970272,3.24140113333333,6.88832906118726,3.37520829298064e-05,0.000303936289773131,2.31913678584878
"SLC52A1",2.38167648,2.50141912222222,6.88789379067818,3.37706988636812e-05,0.000303936289773131,2.31855488318097
"IL17RD",2.05557234,2.35550364444444,6.86869087063114,3.46030882529164e-05,0.000310561513902739,2.29285837872822
"ENDOD1",1.660603332,1.52441555666667,6.85006601463049,3.54315602562602e-05,0.000316675704063223,2.26788942878263
"TXNDC2",1.90088432,1.75348173888889,6.84346037428862,3.57305027459472e-05,0.00031890585645864,2.2590228471147
"STRC",1.78955386,2.03831092222222,6.81711951904249,3.69498614767848e-05,0.000327792172475594,2.22360936831389
"CCL7",2.22752516,2.33549532222222,6.81338546960291,3.71263110873445e-05,0.000328636605550939,2.21858183209393
"CXCL13",5.10973914,5.03990871111111,6.77443237363866,3.90220646114997e-05,0.000341668090824977,2.16602600624523
"CD69",2.39107342,2.66161214444444,6.72447004334805,4.1607573171762e-05,0.000360394187486417,2.09832368284496
"APOL4",1.82798004,1.81746294444444,6.71530964789316,4.21013088593458e-05,0.000363694439182542,2.0858749287708
"ANXA8",4.05385002,3.64167594444444,6.68097729862056,4.40086350536592e-05,0.000378146101200084,2.03911910816339
"L2HGDH",2.08840578,2.06286090555556,6.65047732331028,4.57811466942037e-05,0.000391292370354565,1.9974510481876
"CLINT1",1.5732796,1.51966975777778,6.64476258542881,4.6121722367664e-05,0.000393681844495418,1.98962998050037
"AP1S3",1.58881702,1.70828422222222,6.64266405743971,4.62474695645651e-05,0.000394233713474423,1.98675688701139
"ST3GAL4",1.87164174,1.78793027777778,6.58241284948849,5.00197861560216e-05,0.000420831395130127,1.90401604135421
"PRRX2",2.73742304,2.74972995555556,6.56956155063478,5.08664544968085e-05,0.000426841652624064,1.88630491235823
"CCM2",1.790112314,1.72272671888889,6.55296228501794,5.19829230200731e-05,0.000435610887489099,1.86339567672852
"RARG",1.50598532,1.36860962555556,6.55127083580828,5.20981605434794e-05,0.000435610887489099,1.86105916914716
"COLGALT2",2.03657418,2.03870557222222,6.52073320012393,5.42266102936425e-05,0.00045035304533446,1.81880935615698
"GBP7",4.30988344,4.60735534444444,6.5150245032972,5.4634773838572e-05,0.000453159634421986,1.81089725283327
"GBP3",2.19169808,2.37731616666667,6.50934259887302,5.50443025993647e-05,0.000455970326923877,1.80301791925629
"SECTM1",1.7029951,1.69931336666667,6.507324773152,5.51905322502602e-05,0.00045659551873196,1.80021866830222
"BST2",1.6566002,1.70509677777778,6.49467136596201,5.61170825035456e-05,0.000463452227900246,1.78265256119085
"POU6F1",1.9943739,1.70610618666667,6.44259806843159,6.01099197067327e-05,0.000490378396798415,1.71013386128349
"MYO1G",2.2911232,2.2357345,6.39162437551425,6.43154782438228e-05,0.000520084938731063,1.63879026904763
"RNF8",1.5563984,1.296495335,6.36030367026419,6.70555554656e-05,0.000537419040343078,1.59477789915103
