,GSM758903,GSM758910,GSM758914,GSM758924,GSM758944,GSM758951,GSM758956,GSM758964,GSM758968
BPI,1.9235215,-0.20902586,2.2582703,-1.377053,0.03559351,0.45215273,2.0128818,-0.5254376,0.04088545
C1S,7.734458,7.4268103,8.810929,6.2254114,8.089234,8.631207,7.767541,8.09536,6.8246145
UHRF2,-0.21108818,0.3943782,0.27909946,-0.056201935,0.25210142,-0.35889387,-1.8941293,0.3510399,0.03006363
C1R,6.3313074,5.956955,6.973365,4.875367,6.494199,6.8389807,6.8309965,6.621316,5.5595236
SRF,0.41631365,0.30747128,0.06829357,0.5417061,0.5079808,0.70354176,0.41901112,0.6791043,0.003620148
LRTM2,0.54324865,-0.7084445,0.7219329,0.13171017,-0.033533573,0.42120123,2.715397,-0.4787234,0.094016194
MLLT1,0.3842826,0.8386731,-0.0701623,0.28739738,0.21832609,-0.046753883,0.9805689,-0.18448639,-0.12220287
IL2RG,1.488594,1.7176428,1.8493195,1.4255695,1.4042244,2.1101341,0.27893257,1.8701782,1.4802303
MALT1,0.54789305,1.2351217,1.0940285,1.569879,1.6616125,2.0535936,0.32160664,1.1459188,2.5232897
U2AF2,-0.078424454,0.051965237,-0.7924948,0.012185097,-0.05621767,1.144969,-1.726892,0.3467555,-0.4797368
LINC00113,-0.39299995,-0.06957221,-0.890412,0.73373175,0.6828244,1.1410732,3.4102597,-0.25601566,-0.26315182
KCNJ2,0.34390163,-0.96212673,1.2608318,-2.6104465,-0.21469879,-0.5725546,1.0211515,-0.30416775,-1.7666779
KCNJ3,-0.54906464,-0.28219336,-0.43927217,0.46285176,0.48090267,0.9205003,3.4223607,-0.4773215,-0.4801939
NOP56,-0.46239853,-0.86178017,-0.6288862,-0.90618134,-0.2929144,-0.76511574,-0.9245243,-0.65541744,-0.19945335
COL26A1,0.5976,0.3022895,0.27388,-0.23734236,0.04007101,0.058895588,0.7255449,-0.48985195,0.3100996
GPKOW,0.64126396,0.7186117,0.7201061,0.49570847,0.8357487,1.0112877,0.024321556,0.7109928,0.88970757
PRKCZ-AS1,0.011431694,1.4793212,-0.5516565,0.1633575,0.80489516,1.3136053,1.9526536,1.0899618,0.77611136
SPDYE3,1.0271883,1.422194,0.08122635,1.119926,0.69459534,1.9320726,1.2401462,0.26038718,1.6932392
APLN,-0.14638805,-0.2656865,0.37271357,-1.2969047,-0.8743181,-0.5255754,1.3335233,-0.9565282,-0.8232882
GSTZ1,0.35378456,0.19090366,0.17578411,0.19866753,0.16116428,0.6471157,0.48713684,0.19837666,0.12773514
IL2RA,5.6517324,6.2848682,5.3402815,6.4732227,5.94083,6.4475164,6.437832,6.5617476,6.757432
IL2RB,0.56441355,1.1284347,0.30128717,-0.15476084,1.1638288,1.5461097,-0.047127724,1.320168,1.417254
ST7,0.00330925,0.007674217,0.31717396,0.61782646,-0.053952217,-0.023540974,-0.9235592,0.4269061,0.3072214
PDCD1,1.000854,0.55906963,2.1038542,-0.26211262,0.30208158,0.94055986,1.8707695,0.58329725,0.23828983
EGFEM1P,-1.0340555,-0.2775693,-1.5891538,0.02965796,0.40070462,0.42919588,2.7321897,-0.5983459,-0.9922376
KCNK3,0.08128381,0.54546475,0.17967391,0.16006875,0.11580753,-0.5107107,2.8892152,-0.22413707,-0.03835821
ENSG00000234352,-0.29857773,0.070073605,-0.8167974,0.6011722,0.8106502,1.142829,3.327084,-0.16413486,-0.29163194
CERK,-1.56002,-0.5114851,-1.289361,-1.4828687,-1.0603905,-1.0951476,-0.16521358,-0.46417475,-1.0813184
STH,-0.002237558,-0.3754444,0.35121822,0.41475892,0.38426185,0.832057,3.1540928,-0.5717056,-0.56424195
MT1X,3.5319023,1.925827,3.0011148,1.9692574,2.8905325,4.2969036,5.8706455,2.1263113,2.7767544
