"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"GZMA",977.098329040672,2.51908121523159,0.571120445785723,4.41077050177383,1.03003442738773e-05,0.000437827285802037
"SEPTIN10",315.816912202933,-2.53222076870204,0.574541359335135,-4.40737768927958,1.04629649065899e-05,0.000443660186694479
"TNS3",3749.28423396644,-2.08569289281927,0.473288062465269,-4.40681491511804,1.04901751547968e-05,0.00044373694904189
"ITGB6",59.9216705783565,-4.77887765131686,1.08646527111204,-4.3985553688481,1.08973826555821e-05,0.000459848490321303
"PLPP3",1067.45111652627,-2.16033454972757,0.491282891529738,-4.39733315972148,1.09589064162112e-05,0.000461330349617371
"ENSG00000260912",117.991877226278,-3.26149925914106,0.741974892792809,-4.3957003004033,1.10416192044111e-05,0.000462901863212323
"SELE",546.466896936877,-3.47688589687742,0.791001220763604,-4.39555060802682,1.10492316519484e-05,0.000462901863212323
"APOBEC3G",1500.73958676936,2.20651102728944,0.50207104754673,4.39481829926484,1.10865447110698e-05,0.00046335391412055
"TNFSF10",1938.6899644297,-2.439483378543,0.555796576297188,-4.38916589734189,1.13786244463622e-05,0.000474426179183645
"CELSR1",441.168427788926,-2.39202624433021,0.545369619103572,-4.38606435074621,1.15419987927443e-05,0.000480092187879148
"ACER2",151.195497999442,-3.19833268409065,0.729323229512292,-4.38534322597871,1.15803036853369e-05,0.000480541342952102
"AHNAK2",318.715813757685,-2.67856467474263,0.610982319175518,-4.38402976759979,1.16503843072088e-05,0.000482303824281844
"GJB2",868.05545258469,2.96497012075933,0.67648768063428,4.38288856639541,1.17116025025655e-05,0.000483691952056312
"S100A9",15219.5289510591,2.51672596880031,0.575045524777347,4.37656822001138,1.20562468758314e-05,0.00049558266569594
"SEPTIN1",730.271469183962,2.37555186792481,0.542781047391373,4.37663009668779,1.20528263402321e-05,0.00049558266569594
"PTGER3",107.449675384718,-3.35183670917753,0.766718369151208,-4.37166610849322,1.23301988768812e-05,0.000505653930467406
"SELL",3883.29552163489,2.49331314656546,0.570840734722073,4.36779121549444,1.25509386002183e-05,0.000513126747083019
"ZNF831",299.43521545568,2.82653242499337,0.647182971884668,4.36743942252096,1.2571164725331e-05,0.000513126747083019
"PARD3",206.371792919586,-2.97272704028671,0.680899380431242,-4.3658830154963,1.26610231977271e-05,0.000515589919030986
"ACAP1",1475.67510792675,2.22003963714272,0.509209919805625,4.35977295569998,1.30197459462368e-05,0.000527031789324135
"FRZB",137.534105408138,-3.56919976823426,0.818706660690553,-4.35955872793774,1.30324975951933e-05,0.000527031789324135
"RGL4",171.070982213918,3.30338104740537,0.757650075143739,4.36003526664822,1.30041484145887e-05,0.000527031789324135
"TFPI",792.285124173053,-2.32666556910851,0.534515734734539,-4.35284766736384,1.34380527119465e-05,0.000542177323043198
"GLIS3",166.01835035313,-2.90750468505471,0.669049158679862,-4.34572653942451,1.38815421730143e-05,0.000558780050144149
"KIF21B",2059.52565698309,2.07382215032395,0.477270514120011,4.34517132102254,1.39167005357925e-05,0.000558907490483437
"LGALS9DP",23.8345270292851,-8.83473062428514,2.03435709632962,-4.34276294964377,1.40701926251074e-05,0.000562128550560786
"RPS26P6",23.8345270292851,-8.83473062428514,2.03435709632962,-4.34276294964377,1.40701926251074e-05,0.000562128550560786
"TRAC",1538.15944365046,2.20152920189915,0.506984379917182,4.34240045474138,1.40934347536133e-05,0.000562128550560786
"RASSF8",345.566017997177,-2.49905711106312,0.576027529431473,-4.33843346606999,1.43501913379298e-05,0.000571065700851102
"FABP5",1520.37956757482,-2.40601772562348,0.555398172454528,-4.3320591333427,1.4772125170461e-05,0.000586520515290803
