NAME	TITLE	SCORE	
COCH	coagulation factor C homolog, cochlin (Limulus polyphemus)	0.8897116	
ACSM3	acyl-CoA synthetase medium-chain family member 3	0.8890807	
IQCG	IQ motif containing G	0.8889477	
AGPAT2	1-acylglycerol-3-phosphate O-acyltransferase 2 (lysophosphatidic acid acyltransferase, beta)	0.8884857	
HACE1	HECT domain and ankyrin repeat containing, E3 ubiquitin protein ligase 1	0.887537	
FAM43A	family with sequence similarity 43, member A	0.886641	
DIRAS1	DIRAS family, GTP-binding RAS-like 1	0.8864473	
NAP1L2	nucleosome assembly protein 1-like 2	0.885803	
KIAA1614	KIAA1614	0.8848253	
CHIT1	chitinase 1 (chitotriosidase)	0.88373053	
RANBP17	RAN binding protein 17	0.8836488	
WDR54	WD repeat domain 54	0.8828685	
PTPN11	protein tyrosine phosphatase, non-receptor type 11 (Noonan syndrome 1)	0.88267434	
RDH5	retinol dehydrogenase 5 (11-cis/9-cis)	0.8814048	
FMO4	flavin containing monooxygenase 4	0.88138026	
LIMA1	LIM domain and actin binding 1	0.88050896	
PRKCZ	protein kinase C, zeta	0.8801603	
SELENBP1	selenium binding protein 1	0.8792944	
PLXDC1	plexin domain containing 1	0.87883246	
RPS6KA6	ribosomal protein S6 kinase, 90kDa, polypeptide 6	0.87866575	
PIP5K1A	phosphatidylinositol-4-phosphate 5-kinase, type I, alpha	0.8786111	
PEX11G	peroxisomal biogenesis factor 11 gamma	0.8773744	
ST6GALNAC3	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 3	0.8760593	
DDHD2	DDHD domain containing 2	0.8748087	
TRIM16L	tripartite motif-containing 16-like	0.8745443	
TNNC1	troponin C type 1 (slow)	0.8741129	
FBXO27	F-box protein 27	0.87273645	
ZC3H12B	zinc finger CCCH-type containing 12B	0.8725582	
ZBTB22	zinc finger and BTB domain containing 22	0.87170714	
CYP7A1	cytochrome P450, family 7, subfamily A, polypeptide 1	0.87156516	
APOC1P1	apolipoprotein C-I pseudogene 1	0.87000746	
SMARCA2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2	0.86880094	
BSPRY	B-box and SPRY domain containing	0.86863947	
TMEM55B	transmembrane protein 55B	0.86808914	
AK7	adenylate kinase 7	0.8669758	
GCSH	glycine cleavage system protein H (aminomethyl carrier)	0.86588997	
MEFV	Mediterranean fever	0.8656413	
CANT1	calcium activated nucleotidase 1	0.8656184	
CRYBB2	crystallin, beta B2	0.8653577	
PLAG1	pleiomorphic adenoma gene 1	0.8650454	
LEFTY2	left-right determination factor 2	0.86504143	
TPD52	tumor protein D52	0.8648012	
DMBT1	deleted in malignant brain tumors 1	0.8647508	
GP5	glycoprotein V (platelet)	0.86472756	
CYP11A1	cytochrome P450, family 11, subfamily A, polypeptide 1	0.8644449	
ITLN2	intelectin 2	0.8644109	
ABCA12	ATP-binding cassette, sub-family A (ABC1), member 12	0.86387324	
AREG	amphiregulin (schwannoma-derived growth factor)	0.86386794	
MYOM2	myomesin (M-protein) 2, 165kDa	0.86352724	
KRT6A	keratin 6A	0.86346245	
TAS2R43	taste receptor, type 2, member 43	0.8634488	
PAQR5	progestin and adipoQ receptor family member V	0.86341447	
APOL2	apolipoprotein L, 2	0.8630474	
SLC25A26	solute carrier family 25, member 26	0.8630135	
HIST1H4J	histone cluster 1, H4j	0.86288035	
MUTYH	mutY homolog (E. coli)	0.8615874	
FLNC	filamin C, gamma (actin binding protein 280)	0.8613624	
DAAM1	dishevelled associated activator of morphogenesis 1	0.86115485	
KHDRBS3	KH domain containing, RNA binding, signal transduction associated 3	0.8604386	
WNT1	wingless-type MMTV integration site family, member 1	0.86024404	
HSDL1	hydroxysteroid dehydrogenase like 1	0.85999054	
FOLH1	folate hydrolase (prostate-specific membrane antigen) 1	0.8591519	
LRMP	lymphoid-restricted membrane protein	0.8582721	
CLCN3	chloride channel 3	0.8576571	
NAP1L1	nucleosome assembly protein 1-like 1	0.85753024	
NOVA1	neuro-oncological ventral antigen 1	0.8574429	
CA11	carbonic anhydrase XI	0.8569539	
NRK	Nik related kinase	0.8568871	
SNORD72	small nucleolar RNA, C/D box 72	0.8564538	
PTTG2	pituitary tumor-transforming 2	0.85613275	
MYT1L	myelin transcription factor 1-like	0.85524666	
NUBPL	nucleotide binding protein-like	0.85485774	
RIMS2	regulating synaptic membrane exocytosis 2	0.8547882	
PLK2	polo-like kinase 2 (Drosophila)	0.85455054	
TLE6	transducin-like enhancer of split 6 (E(sp1) homolog, Drosophila)	0.85449296	
ST6GALNAC2	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 2	0.8539584	
HHAT	hedgehog acyltransferase	0.85386866	
TMEM158	transmembrane protein 158	0.8536117	
ENTHD1	ENTH domain containing 1	0.8535071	
SLC7A7	solute carrier family 7 (cationic amino acid transporter, y+ system), member 7	0.85327727	
CDCP1	CUB domain containing protein 1	0.8529897	
SCN9A	sodium channel, voltage-gated, type IX, alpha	0.85263336	
FDPS	farnesyl diphosphate synthase (farnesyl pyrophosphate synthetase, dimethylallyltranstransferase, geranyltranstransferase)	0.85249734	
