NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS	128	103		
REACTOME_SYNTHESIS_OF_PE	13	11		
REACTOME_SYNTHESIS_OF_PI	5	5		
REACTOME_SYNTHESIS_OF_PIPS_AT_THE_ER_MEMBRANE	5		Rejected!	
REACTOME_INOSITOL_PHOSPHATE_METABOLISM	48	42		
REACTOME_PI_METABOLISM	84	70		
REACTOME_PHOSPHOLIPID_METABOLISM	211	172		
REACTOME_DAG_AND_IP3_SIGNALING	41	40		
REACTOME_MEIOSIS	119	53		
REACTOME_CELL_CELL_COMMUNICATION	130	117		
REACTOME_SIGNALING_BY_ACTIVIN	13	13		
REACTOME_G0_AND_EARLY_G1	27	23		
REACTOME_PHASE_II_CONJUGATION_OF_COMPOUNDS	109	94		
REACTOME_METHYLATION	14	12		
REACTOME_CYTOSOLIC_SULFONATION_OF_SMALL_MOLECULES	24	21		
REACTOME_AMINO_ACID_CONJUGATION	9		Rejected!	
REACTOME_GLUCURONIDATION	25	25		
REACTOME_GLUTATHIONE_CONJUGATION	36	31		
REACTOME_ELASTIC_FIBRE_FORMATION	45	45		
REACTOME_FIBRONECTIN_MATRIX_FORMATION	6	6		
REACTOME_POLO_LIKE_KINASE_MEDIATED_EVENTS	16	13		
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION	94	93		
REACTOME_SIGNALING_BY_NOTCH	247	161		
REACTOME_TELOMERE_MAINTENANCE	113	52		
REACTOME_GAP_JUNCTION_TRAFFICKING_AND_REGULATION	51	35		
REACTOME_METABOLISM_OF_NUCLEOTIDES	98	83		
REACTOME_MITOCHONDRIAL_BIOGENESIS	94	64		
REACTOME_TRANSPORT_OF_THE_SLBP_DEPENDANT_MATURE_MRNA	36	30		
REACTOME_TRANSPORT_OF_MATURE_MRNAS_DERIVED_FROM_INTRONLESS_TRANSCRIPTS	43	37		
REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES	33	31		
REACTOME_RECYCLING_OF_BILE_ACIDS_AND_SALTS	16	16		
REACTOME_REMOVAL_OF_AMINOTERMINAL_PROPEPTIDES_FROM_GAMMA_CARBOXYLATED_PROTEINS	10	10		
REACTOME_GAMMA_CARBOXYLATION_TRANSPORT_AND_AMINO_TERMINAL_CLEAVAGE_OF_PROTEINS	11	11		
REACTOME_ZBP1_DAI_MEDIATED_INDUCTION_OF_TYPE_I_IFNS	21	20		
REACTOME_IRF3_MEDIATED_ACTIVATION_OF_TYPE_1_IFN	5		Rejected!	
REACTOME_SULFIDE_OXIDATION_TO_SULFATE	6		Rejected!	
REACTOME_DEGRADATION_OF_CYSTEINE_AND_HOMOCYSTEINE	14	11		
REACTOME_SULFUR_AMINO_ACID_METABOLISM	28	22		
